NAME,state_abbr,poverty_rate,high_school_grad_rate,median_household_income,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,total_population,state_code,year
Arkansas,AR,16.1,33.9,49475,75.4,15.2,0.6,1.5,7.6,4.0,3011873,5,2020
Washington,WA,10.2,21.8,77006,73.5,3.9,1.2,8.8,12.9,7.1,7512465,53,2020
Kansas,KS,11.4,25.8,61091,83.0,5.7,0.8,3.0,12.1,4.8,2912619,20,2020
Oklahoma,OK,15.3,31.1,53840,71.1,7.3,7.7,2.2,10.9,8.7,3949342,40,2020
Wisconsin,WI,11.0,30.3,63293,84.3,6.3,0.8,2.8,7.0,3.4,5806975,55,2020
Mississippi,MS,19.6,30.1,46511,58.0,37.7,0.5,1.0,3.2,1.7,2981835,28,2020
Missouri,MO,13.0,30.5,57290,81.3,11.4,0.4,2.0,4.3,3.5,6124160,29,2020
Michigan,MI,13.7,28.5,59234,77.6,13.6,0.5,3.2,5.2,3.8,9973907,26,2020
Rhode Island,RI,11.6,28.0,70305,79.0,6.5,0.4,3.5,15.9,4.9,1057798,44,2020
Minnesota,MN,9.3,24.2,73382,81.6,6.4,1.0,4.9,5.5,3.9,5600166,27,2020
Iowa,IA,11.1,30.8,61836,89.1,3.7,0.3,2.5,6.2,3.0,3150011,19,2020
New Mexico,NM,18.6,26.2,51243,70.0,2.1,9.3,1.6,49.2,8.1,2097021,35,2020
Nevada,NV,12.8,27.9,62043,62.1,9.3,1.2,8.3,28.9,7.5,3030281,32,2020
Delaware,DE,11.4,31.0,69110,67.4,22.0,0.4,4.0,9.4,3.9,967679,10,2020
Puerto Rico,PR,43.4,nan,21058,60.0,11.3,0.2,0.2,98.7,9.7,3255642,72,2020
Kentucky,KY,16.6,32.6,52238,86.2,8.1,0.2,1.5,3.8,2.8,4461952,21,2020
South Dakota,SD,12.8,30.2,59896,83.6,2.1,8.5,1.4,4.1,3.4,879336,46,2020
Tennessee,TN,14.6,31.8,54833,76.7,16.7,0.3,1.8,5.6,2.9,6772268,47,2020
Pennsylvania,PA,12.0,34.2,63627,79.4,11.1,0.2,3.5,7.6,3.4,12794885,42,2020
California,CA,12.6,20.4,78672,56.1,5.7,0.8,14.8,39.1,7.9,39346023,6,2020
West Virginia,WV,17.1,40.0,48037,92.5,3.6,0.2,0.8,1.6,2.4,1807426,54,2020
Utah,UT,9.1,22.8,74197,85.1,1.2,1.1,2.3,14.2,4.2,3151239,49,2020
New York,NY,13.6,25.5,71117,62.3,15.4,0.4,8.6,19.1,4.7,19514849,36,2020
District of Columbia,DC,15.5,16.6,90842,41.1,45.4,0.3,4.1,11.1,4.2,701974,11,2020
Alaska,AK,10.3,28.4,77790,63.4,3.2,14.6,6.4,7.2,9.3,736990,2,2020
Florida,FL,13.3,28.2,57703,71.6,15.9,0.3,2.8,25.8,6.0,21216924,12,2020
South Carolina,SC,14.7,28.9,54864,66.5,26.4,0.3,1.6,5.8,3.0,5091517,45,2020
North Dakota,ND,10.5,26.1,65315,85.7,3.2,5.2,1.6,4.0,3.1,760394,38,2020
Maine,ME,11.1,31.3,59489,93.7,1.4,0.7,1.1,1.7,2.8,1340825,23,2020
Georgia,GA,14.3,27.5,61224,57.2,31.6,0.3,4.1,9.6,3.7,10516579,13,2020
Alabama,AL,16.0,30.3,52035,67.5,26.6,0.5,1.4,4.4,2.4,4893186,1,2020
New Hampshire,NH,7.4,27.3,77923,92.0,1.6,0.2,2.7,3.9,2.9,1355244,33,2020
Oregon,OR,12.4,22.7,65667,82.6,1.9,1.1,4.5,13.2,6.2,4176346,41,2020
Wyoming,WY,10.8,28.6,65304,90.3,0.9,2.3,0.8,10.1,3.9,581348,56,2020
Arizona,AZ,14.1,23.8,61529,73.8,4.5,4.3,3.3,31.5,7.0,7174064,4,2020
Louisiana,LA,18.6,33.3,50800,61.2,32.2,0.6,1.7,5.2,2.7,4664616,22,2020
Indiana,IN,12.9,33.2,58235,82.3,9.4,0.2,2.4,7.1,3.3,6696893,18,2020
Idaho,ID,11.9,26.7,58915,88.4,0.7,1.3,1.4,12.7,4.3,1754367,16,2020
Connecticut,CT,9.8,26.3,79855,74.2,10.7,0.3,4.6,16.4,4.8,3570549,9,2020
Hawaii,HI,9.3,27.3,83173,24.1,1.9,0.2,37.6,10.7,24.3,1420074,15,2020
Illinois,IL,12.0,25.6,68428,69.8,14.1,0.3,5.6,17.2,4.2,12716164,17,2020
Massachusetts,MA,9.8,23.5,84385,76.6,7.5,0.2,6.8,12.0,4.8,6873003,25,2020
Texas,TX,14.2,24.7,63826,69.2,12.1,0.5,4.9,39.4,7.0,28635442,48,2020
Montana,MT,12.8,28.1,56539,87.8,0.6,6.2,0.8,3.9,3.8,1061705,30,2020
Nebraska,NE,10.4,25.7,63015,85.3,4.8,0.9,2.5,11.2,3.9,1923826,31,2020
Ohio,OH,13.6,32.8,58116,80.5,12.4,0.2,2.3,3.9,3.6,11675275,39,2020
Colorado,CO,9.8,21.2,75231,81.5,4.1,0.9,3.2,21.7,5.9,5684926,8,2020
New Jersey,NJ,9.7,26.7,85245,65.5,13.4,0.3,9.7,20.4,4.8,8885418,34,2020
Maryland,MD,9.0,24.2,87063,54.2,29.9,0.3,6.4,10.3,4.5,6037624,24,2020
Virginia,VA,10.0,23.9,76398,66.3,19.0,0.3,6.7,9.5,4.8,8509358,51,2020
Vermont,VT,10.8,28.3,63477,93.6,1.3,0.3,1.6,2.0,2.7,624340,50,2020
North Carolina,NC,14.0,25.5,56642,67.6,21.4,1.2,3.0,9.5,3.6,10386227,37,2020
Alabama,AL,15.8,30.5,54943,66.8,26.5,0.4,1.4,4.5,3.1,4997675,1,2021
Alaska,AK,10.4,28.5,80287,62.3,3.2,14.6,6.4,7.3,10.0,735951,2,2021
Arizona,AZ,13.5,23.5,65913,70.4,4.5,4.2,3.3,31.9,10.4,7079203,4,2021
Arkansas,AR,16.0,34.1,52123,74.1,15.2,0.6,1.5,7.9,5.3,3006309,5,2021
California,CA,12.3,20.4,84097,52.1,5.7,0.9,14.9,39.5,10.7,39455353,6,2021
Colorado,CO,9.6,20.6,80184,78.8,4.1,0.9,3.2,21.9,8.4,5723176,8,2021
Connecticut,CT,10.0,26.1,83572,72.0,10.8,0.2,4.6,16.9,6.3,3605330,9,2021
Delaware,DE,11.4,30.4,72724,65.7,22.0,0.3,4.0,9.7,5.0,981892,10,2021
District of Columbia,DC,15.4,15.5,93547,40.5,44.7,0.3,4.1,11.3,5.7,683154,11,2021
Florida,FL,13.1,27.9,61777,67.7,15.7,0.3,2.8,26.2,9.4,21339762,12,2021
Georgia,GA,13.9,27.2,65030,55.9,31.5,0.3,4.2,9.9,4.8,10625615,13,2021
Hawaii,HI,9.5,26.8,88005,23.7,1.9,0.3,37.5,10.9,24.4,1453498,15,2021
Idaho,ID,11.4,26.5,63377,86.5,0.7,1.3,1.4,12.9,5.7,1811617,16,2021
Illinois,IL,11.8,25.4,72563,67.8,14.1,0.3,5.7,17.5,5.8,12821813,17,2021
Indiana,IN,12.5,33.0,61944,81.2,9.4,0.2,2.4,7.3,4.3,6751340,18,2021
Iowa,IA,11.0,30.6,65429,87.9,3.7,0.3,2.5,6.4,3.9,3179090,19,2021
Kansas,KS,11.5,25.7,64521,81.4,5.6,0.7,3.0,12.3,6.1,2932099,20,2021
Kentucky,KY,16.3,32.8,55454,85.5,8.0,0.2,1.5,3.9,3.5,4494141,21,2021
Louisiana,LA,18.8,33.1,53571,60.2,31.9,0.5,1.7,5.3,3.8,4657305,22,2021
Maine,ME,11.0,30.9,63182,92.9,1.4,0.6,1.1,1.8,3.5,1357046,23,2021
Maryland,MD,9.2,23.9,91431,52.7,29.8,0.3,6.5,10.6,5.4,6148545,24,2021
Massachusetts,MA,9.9,23.2,89026,74.5,7.3,0.2,6.9,12.4,6.5,6991852,25,2021
Michigan,MI,13.3,28.5,63202,76.7,13.6,0.5,3.2,5.4,4.6,10062512,26,2021
Minnesota,MN,9.2,23.9,77706,80.7,6.6,0.9,5.0,5.6,4.6,5670472,27,2021
Mississippi,MS,19.4,29.8,49111,57.4,37.5,0.5,1.0,3.2,2.4,2967023,28,2021
Missouri,MO,12.8,30.5,61043,80.3,11.3,0.3,2.0,4.4,4.6,6141534,29,2021
Montana,MT,12.5,27.8,60560,87.0,0.6,6.1,0.8,4.1,4.5,1077978,30,2021
Nebraska,NE,10.3,25.6,66644,83.5,4.8,0.9,2.5,11.5,5.1,1951480,31,2021
Nevada,NV,12.9,27.8,65686,58.8,9.3,1.2,8.3,29.3,10.3,3059238,32,2021
New Hampshire,NH,7.4,27.3,83449,91.0,1.6,0.1,2.7,4.1,3.7,1372175,33,2021
New Jersey,NJ,9.8,26.4,89703,62.7,13.3,0.3,9.8,20.8,6.7,9234024,34,2021
New Mexico,NM,18.3,26.0,54020,64.7,2.1,9.4,1.6,49.6,12.4,2109366,35,2021
New York,NY,13.5,25.2,75157,60.7,15.2,0.4,8.6,19.2,6.0,20114745,36,2021
North Carolina,NC,13.7,25.2,60516,66.2,21.2,1.1,3.0,9.8,4.8,10367022,37,2021
North Dakota,ND,10.7,26.1,68131,84.9,3.1,5.1,1.6,4.1,3.9,773344,38,2021
Ohio,OH,13.4,32.6,61938,79.6,12.3,0.2,2.4,4.1,4.3,11769923,39,2021
Oklahoma,OK,15.2,30.8,56956,69.7,7.2,7.7,2.2,11.2,10.0,3948136,40,2021
Oregon,OR,12.1,22.5,70084,80.7,1.9,1.1,4.4,13.6,7.7,4207177,41,2021
Pennsylvania,PA,11.8,33.8,67587,78.3,11.0,0.2,3.6,7.9,4.3,12970650,42,2021
Rhode Island,RI,11.3,27.9,74489,77.0,6.4,0.4,3.5,16.4,6.6,1091949,44,2021
South Carolina,SC,14.5,28.7,58234,65.7,26.2,0.3,1.6,6.0,4.0,5078903,45,2021
South Dakota,SD,12.5,30.1,63920,82.6,2.2,8.3,1.4,4.3,4.4,881785,46,2021
Tennessee,TN,14.3,31.6,58516,75.8,16.5,0.2,1.8,5.8,3.8,6859497,47,2021
Texas,TX,14.0,24.5,67321,64.3,12.1,0.5,5.0,39.8,10.9,28862581,48,2021
Utah,UT,8.8,22.7,79133,83.7,1.2,1.0,2.3,14.4,5.6,3231370,49,2021
Vermont,VT,10.5,28.0,67674,92.9,1.3,0.2,1.7,2.1,3.4,641637,50,2021
Virginia,VA,9.9,23.8,80615,64.9,19.0,0.3,6.7,9.8,5.9,8582479,51,2021
Washington,WA,10.0,21.8,82400,71.7,3.9,1.2,9.0,13.2,8.6,7617364,53,2021
West Virginia,WV,16.9,40.1,50884,92.1,3.4,0.1,0.8,1.7,3.1,1801049,54,2021
Wisconsin,WI,10.7,30.0,67080,83.3,6.3,0.8,2.8,7.2,4.4,5871661,55,2021
Wyoming,WY,10.7,28.4,68002,88.6,0.9,2.3,0.9,10.3,4.9,576641,56,2021
Puerto Rico,PR,42.7,nan,21967,51.1,10.0,0.2,0.2,98.8,16.9,3311274,72,2021
Alabama,AL,15.7,30.4,59609,66.2,26.4,0.4,1.4,2.7,3.7,5028092,1,2022
Alaska,AK,10.5,28.8,86370,61.3,3.2,14.3,6.5,3.8,11.3,734821,2,2022
Arizona,AZ,13.1,23.6,72581,66.7,4.6,4.1,3.4,27.6,13.4,7172282,4,2022
Arkansas,AR,16.2,34.1,56335,72.7,15.1,0.6,1.6,5.7,6.7,3018669,5,2022
California,CA,12.1,20.4,91905,48.1,5.6,1.0,15.1,32.3,13.5,39356104,6,2022
Colorado,CO,9.6,20.4,87598,76.1,4.0,1.0,3.2,15.8,10.6,5770790,8,2022
Connecticut,CT,10.1,25.8,90213,69.8,10.7,0.3,4.7,1.7,8.0,3611317,9,2022
Delaware,DE,11.1,29.7,79325,63.8,22.0,0.3,4.1,3.5,6.5,993635,10,2022
District of Columbia,DC,15.1,15.0,101722,39.6,44.3,0.3,4.0,2.0,7.1,670587,11,2022
Florida,FL,12.9,27.7,67917,63.8,15.5,0.3,2.8,3.4,12.7,21634529,12,2022
Georgia,GA,13.5,27.1,71355,54.3,31.5,0.4,4.3,5.4,6.0,10722325,13,2022
Hawaii,HI,9.6,26.7,94814,23.0,2.0,0.3,37.2,3.6,25.5,1450589,15,2022
Idaho,ID,11.0,26.3,70214,84.9,0.7,1.2,1.3,10.7,7.2,1854109,16,2022
Illinois,IL,11.8,25.3,78433,65.8,13.9,0.4,5.8,13.8,7.5,12757634,17,2022
Indiana,IN,12.3,33.0,67173,80.0,9.4,0.2,2.5,5.3,5.1,6784403,18,2022
Iowa,IA,11.1,30.6,70571,86.9,3.8,0.3,2.5,4.8,4.7,3188836,19,2022
Kansas,KS,11.6,25.7,69747,79.8,5.6,0.7,3.0,10.0,7.3,2935922,20,2022
Kentucky,KY,16.1,32.7,60183,84.8,8.0,0.2,1.5,2.1,4.2,4502935,21,2022
Louisiana,LA,18.7,32.9,57852,59.4,31.6,0.5,1.7,1.8,4.9,4640546,22,2022
Maine,ME,10.9,31.0,68251,92.3,1.6,0.5,1.1,0.6,3.9,1366949,23,2022
Maryland,MD,9.3,23.8,98461,51.2,29.9,0.3,6.5,1.7,6.3,6161707,24,2022
Massachusetts,MA,9.9,22.9,96505,72.7,7.1,0.2,7.0,0.7,8.0,6984205,25,2022
Michigan,MI,13.1,28.4,68505,75.7,13.6,0.5,3.3,3.8,5.4,10057921,26,2022
Minnesota,MN,9.3,23.7,84313,79.7,6.7,0.9,5.0,3.7,5.3,5695292,27,2022
Mississippi,MS,19.2,29.8,52985,56.9,37.2,0.4,1.0,1.8,2.9,2958846,28,2022
Missouri,MO,12.8,30.5,65920,79.4,11.3,0.3,2.1,2.9,5.4,6154422,29,2022
Montana,MT,12.4,27.8,66341,86.4,0.6,5.8,0.8,2.8,5.2,1091840,30,2022
Nebraska,NE,10.4,25.4,71722,81.8,4.8,0.9,2.5,8.4,6.3,1958939,31,2022
Nevada,NV,12.7,27.6,71646,55.8,9.3,1.3,8.5,21.9,12.7,3104817,32,2022
New Hampshire,NH,7.3,27.2,90845,90.0,1.5,0.2,2.6,0.7,4.6,1379610,33,2022
New Jersey,NJ,9.7,26.1,97126,59.8,13.1,0.3,9.9,2.4,8.6,9249063,34,2022
New Mexico,NM,18.3,25.9,58722,59.2,2.1,9.4,1.6,32.5,16.5,2112463,35,2022
New York,NY,13.6,24.9,81386,58.8,15.1,0.5,8.8,2.5,7.4,19994379,36,2022
North Carolina,NC,13.3,25.2,66186,65.0,20.9,1.0,3.1,5.3,5.9,10470214,37,2022
North Dakota,ND,10.8,26.1,73959,84.5,3.2,4.7,1.6,2.6,4.4,776874,38,2022
Ohio,OH,13.3,32.4,66990,78.8,12.3,0.1,2.4,1.8,4.9,11774683,39,2022
Oklahoma,OK,15.2,30.8,61364,68.4,7.2,7.5,2.3,9.1,11.3,3970497,40,2022
Oregon,OR,11.9,22.5,76632,78.7,1.9,1.1,4.4,11.0,9.2,4229374,41,2022
Pennsylvania,PA,11.8,33.5,73170,77.1,10.8,0.2,3.6,1.3,5.1,12989208,42,2022
Rhode Island,RI,11.2,26.9,81370,74.6,6.2,0.4,3.5,1.0,8.4,1094250,44,2022
South Carolina,SC,14.4,28.5,63623,65.0,25.8,0.3,1.7,3.1,4.8,5142750,45,2022
South Dakota,SD,12.3,29.9,69457,82.2,2.2,8.0,1.4,2.5,5.0,890342,46,2022
Tennessee,TN,14.0,31.5,64035,74.9,16.3,0.2,1.9,3.3,4.7,6923772,47,2022
Texas,TX,13.9,24.5,73035,59.1,12.1,0.6,5.2,33.0,15.1,29243342,48,2022
Utah,UT,8.5,22.6,86833,82.4,1.1,1.0,2.4,10.2,6.8,3283809,49,2022
Vermont,VT,10.4,27.6,74014,92.3,1.2,0.2,1.7,0.6,4.0,643816,50,2022
Virginia,VA,10.0,23.9,87249,63.5,18.9,0.3,6.9,2.2,6.9,8624511,51,2022
Washington,WA,9.9,21.8,90325,69.9,3.9,1.2,9.2,10.3,9.9,7688549,53,2022
West Virginia,WV,16.8,39.5,55217,91.4,3.4,0.1,0.8,0.7,3.7,1792967,54,2022
Wisconsin,WI,10.7,29.9,72458,82.5,6.2,0.7,2.9,5.1,5.4,5882128,55,2022
Wyoming,WY,10.7,28.1,72495,87.3,0.8,2.1,0.8,7.9,5.9,577929,56,2022
Puerto Rico,PR,42.2,nan,24002,43.6,8.8,0.2,0.2,0.2,23.3,3272382,72,2022
Alabama,AL,15.6,30.3,62027,65.4,26.1,0.4,1.4,5.4,4.5,5054253,1,2023
Alaska,AK,10.2,28.9,89336,60.7,3.1,13.8,6.4,7.1,12.2,733971,2,2023
Arizona,AZ,12.8,23.5,76872,63.2,4.6,4.1,3.4,31.0,16.2,7268175,4,2023
Arkansas,AR,16.0,34.4,58773,70.9,14.9,0.6,1.6,8.8,8.7,3032651,5,2023
California,CA,12.0,20.4,96334,44.0,5.5,1.1,15.3,39.8,16.3,39242785,6,2023
Colorado,CO,9.4,20.1,92470,73.5,4.0,1.0,3.2,22.2,12.7,5810774,8,2023
Connecticut,CT,10.0,25.5,93760,67.6,10.7,0.3,4.8,17.8,9.5,3598348,9,2023
Delaware,DE,10.7,29.0,82855,61.8,21.9,0.4,4.1,10.7,7.6,1005872,10,2023
District of Columbia,DC,14.5,14.5,106287,39.1,43.3,0.3,4.1,11.6,8.4,672079,11,2023
Florida,FL,12.6,27.4,71711,59.9,15.3,0.3,2.9,26.7,16.0,21928881,12,2023
Georgia,GA,13.5,26.9,74664,52.5,31.3,0.4,4.4,10.7,7.2,10822590,13,2023
Hawaii,HI,10.0,26.7,98317,22.5,1.9,0.3,37.3,9.8,26.0,1445635,15,2023
Idaho,ID,10.6,25.9,74636,83.3,0.7,1.1,1.3,13.3,8.4,1893296,16,2023
Illinois,IL,11.7,25.3,81702,63.3,13.8,0.5,5.8,18.5,9.2,12692653,17,2023
Indiana,IN,12.2,32.8,70051,78.5,9.3,0.3,2.5,8.4,6.3,6811752,18,2023
Iowa,IA,11.0,30.4,73147,85.6,3.9,0.3,2.4,7.0,5.6,3195937,19,2023
Kansas,KS,11.5,25.6,72639,77.9,5.4,0.7,2.9,13.3,9.0,2937569,20,2023
Kentucky,KY,16.1,32.7,62417,83.7,7.9,0.2,1.5,4.7,5.2,4510725,21,2023
Louisiana,LA,18.9,32.5,60023,58.0,31.1,0.6,1.7,6.9,6.3,4621025,22,2023
Maine,ME,10.8,30.5,71773,91.3,1.7,0.5,1.1,2.1,4.7,1377400,23,2023
Maryland,MD,9.3,23.7,101652,49.6,29.6,0.4,6.5,12.1,7.4,6170738,24,2023
Massachusetts,MA,10.0,22.8,101341,70.7,7.0,0.2,7.1,12.9,9.5,6992395,25,2023
Michigan,MI,13.1,28.2,71149,74.8,13.4,0.5,3.3,5.7,6.3,10051595,26,2023
Minnesota,MN,9.2,23.5,87556,78.4,6.8,0.9,5.1,6.2,6.2,5713716,27,2023
Mississippi,MS,19.1,29.9,54915,56.3,37.0,0.4,1.0,3.6,3.6,2951438,28,2023
Missouri,MO,12.6,30.3,68920,78.3,11.1,0.3,2.1,5.1,6.3,6168181,29,2023
Montana,MT,12.0,27.9,69922,85.7,0.5,5.7,0.8,4.4,6.0,1105072,30,2023
Nebraska,NE,10.3,25.1,74985,79.9,4.8,1.0,2.5,12.3,7.6,1965926,31,2023
Nevada,NV,12.6,27.4,75561,53.2,9.4,1.3,8.7,29.2,14.8,3141000,32,2023
New Hampshire,NH,7.2,27.0,95628,88.9,1.5,0.1,2.6,4.5,5.5,1387834,33,2023
New Jersey,NJ,9.8,25.7,101050,56.9,13.0,0.5,9.9,21.9,10.6,9267014,34,2023
New Mexico,NM,18.1,25.7,62125,53.6,2.1,9.5,1.7,48.2,20.9,2114768,35,2023
New York,NY,13.7,24.6,84578,57.1,14.7,0.5,8.9,19.6,8.9,19872319,36,2023
North Carolina,NC,13.2,25.0,69904,63.3,20.6,1.0,3.2,10.9,7.1,10584340,37,2023
North Dakota,ND,10.6,25.7,75949,83.9,3.2,4.5,1.6,4.5,5.3,779361,38,2023
Ohio,OH,13.2,32.3,69680,77.8,12.3,0.1,2.4,4.6,5.7,11780046,39,2023
Oklahoma,OK,15.3,30.7,63603,66.8,7.1,7.4,2.3,12.3,12.8,3995260,40,2023
Oregon,OR,11.9,22.4,80426,76.6,1.9,1.1,4.5,14.3,10.8,4238714,41,2023
Pennsylvania,PA,11.8,33.2,76081,75.8,10.7,0.2,3.7,8.4,6.1,12986518,42,2023
Rhode Island,RI,10.9,26.5,86372,72.3,5.8,0.4,3.5,17.1,10.7,1095371,44,2023
South Carolina,SC,14.2,28.2,66818,64.1,25.3,0.3,1.7,7.1,5.8,5212774,45,2023
South Dakota,SD,12.0,29.5,72421,81.5,2.2,7.7,1.4,4.6,5.6,899194,46,2023
Tennessee,TN,13.8,31.4,67097,73.5,15.9,0.2,1.8,7.1,6.0,6986082,47,2023
Texas,TX,13.8,24.3,76292,53.9,12.2,0.6,5.3,39.5,19.2,29640343,48,2023
