threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
point,not,replica,grass valley,CA,39.2190608,-121.0610606,25.0,male,W,True,False,2020,1,0,0,0,0,1,0,0,W,1,0,0,0,0,0,0
threat,not,gun,richmond county,VA,38.1004387,-76.8752801,24.0,male,W,False,False,2020,2,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,central point,OR,42.4175032,-122.9931328,29.0,male,W,True,True,2020,3,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,knife,denver,CO,39.7001049,-105.0299665,20.0,male,H,False,True,2020,4,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
shoot,car,gun,holt,MO,39.4043696,-94.3449817,26.0,male,W,False,False,2020,5,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,knife,ansonia,CT,41.3444575,-73.0701627,30.0,male,H,False,True,2020,6,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
shoot,not,gun,hillsboro,OR,45.5212287,-122.8703604,69.0,male,W,True,False,2020,7,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,car,vehicle,north las vegas,NV,36.2397029,-115.1884953,26.0,male,B,False,True,2020,8,0,0,0,1,0,0,0,B,0,1,0,0,0,0,0
shoot,car,gun,murrieta,CA,33.5818953,-117.232107,41.0,male,W,False,True,2020,9,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,foot,gun,chicago,IL,41.9180154,-87.7770854,31.0,male,H,False,False,2020,10,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,not,knife,chicago,IL,41.7519306,-87.5611946,25.0,male,B,False,False,2020,11,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,gun,elkmont,AL,34.8824549,-87.0995218,57.0,male,W,False,False,2020,12,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,car,gun,jacksonville,FL,30.3717918,-81.686675,17.0,male,B,False,False,2020,13,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,knife,milford,DE,38.9167545,-75.4376983,27.0,male,B,True,False,2020,14,0,1,0,0,0,0,0,B,0,1,0,0,0,0,0
threat,not,knife,oklahoma city,OK,35.4641535,-97.6012274,50.0,male,W,False,False,2020,15,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,foot,gun,lubbock,TX,33.509269,-101.9018041,30.0,male,H,False,False,2020,16,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
move,car,gun,sparks,NV,39.5564364,-119.761852,18.0,male,B,True,False,2020,17,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,car,gun,asheboro,NC,35.6275205,-79.7572487,21.0,male,W,False,False,2020,18,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,foot,gun,phoenix,AZ,33.4450342,-112.0751622,28.0,male,H,False,False,2020,19,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
move,not,gun,albuquerque,NM,35.0754518,-106.5652647,28.0,male,H,False,False,2020,20,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,car,gun,aurora,CO,39.6746413,-104.8305873,25.0,male,W,False,True,2020,21,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
move,not,replica,honolulu,HI,Unknown/Missing,Unknown/Missing,33.0,male,A,False,False,2020,22,0,0,0,0,1,0,0,A,0,0,0,1,0,0,0
point,not,gun,north pole,AK,Unknown/Missing,Unknown/Missing,59.0,male,W,False,False,2020,23,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
point,not,gun,bismarck,MO,37.7758496,-90.6269926,34.0,male,W,False,False,2020,24,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,car,gun,nipton,CA,Unknown/Missing,Unknown/Missing,27.0,male,,True,False,2020,25,1,0,0,0,0,0,0,NAN,0,0,0,0,0,0,1
attack,not,blunt_object,semmes,AL,30.7618675,-88.2294216,34.0,male,W,True,False,2020,26,0,0,1,0,0,0,0,W,1,0,0,0,0,0,0
point,foot,gun,new york,NY,40.7260554,-73.9835429,37.0,male,B,False,True,2020,27,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,not,gun,bismarck,ND,Unknown/Missing,Unknown/Missing,30.0,male,W,True,False,2020,28,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
