NAME,DP03_0128PE,DP02_0062PE,DP03_0062E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0076PE,DP05_0035PE,DP05_0033E,state
Alabama,15.6,30.3,62027,65.4,26.1,0.4,1.4,5.4,4.5,5054253,01
Alaska,10.2,28.9,89336,60.7,3.1,13.8,6.4,7.1,12.2,733971,02
Arizona,12.8,23.5,76872,63.2,4.6,4.1,3.4,31.0,16.2,7268175,04
Arkansas,16.0,34.4,58773,70.9,14.9,0.6,1.6,8.8,8.7,3032651,05
California,12.0,20.4,96334,44.0,5.5,1.1,15.3,39.8,16.3,39242785,06
Colorado,9.4,20.1,92470,73.5,4.0,1.0,3.2,22.2,12.7,5810774,08
Connecticut,10.0,25.5,93760,67.6,10.7,0.3,4.8,17.8,9.5,3598348,09
Delaware,10.7,29.0,82855,61.8,21.9,0.4,4.1,10.7,7.6,1005872,10
District of Columbia,14.5,14.5,106287,39.1,43.3,0.3,4.1,11.6,8.4,672079,11
Florida,12.6,27.4,71711,59.9,15.3,0.3,2.9,26.7,16.0,21928881,12
Georgia,13.5,26.9,74664,52.5,31.3,0.4,4.4,10.7,7.2,10822590,13
Hawaii,10.0,26.7,98317,22.5,1.9,0.3,37.3,9.8,26.0,1445635,15
Idaho,10.6,25.9,74636,83.3,0.7,1.1,1.3,13.3,8.4,1893296,16
Illinois,11.7,25.3,81702,63.3,13.8,0.5,5.8,18.5,9.2,12692653,17
Indiana,12.2,32.8,70051,78.5,9.3,0.3,2.5,8.4,6.3,6811752,18
Iowa,11.0,30.4,73147,85.6,3.9,0.3,2.4,7.0,5.6,3195937,19
Kansas,11.5,25.6,72639,77.9,5.4,0.7,2.9,13.3,9.0,2937569,20
Kentucky,16.1,32.7,62417,83.7,7.9,0.2,1.5,4.7,5.2,4510725,21
Louisiana,18.9,32.5,60023,58.0,31.1,0.6,1.7,6.9,6.3,4621025,22
Maine,10.8,30.5,71773,91.3,1.7,0.5,1.1,2.1,4.7,1377400,23
Maryland,9.3,23.7,101652,49.6,29.6,0.4,6.5,12.1,7.4,6170738,24
Massachusetts,10.0,22.8,101341,70.7,7.0,0.2,7.1,12.9,9.5,6992395,25
Michigan,13.1,28.2,71149,74.8,13.4,0.5,3.3,5.7,6.3,10051595,26
Minnesota,9.2,23.5,87556,78.4,6.8,0.9,5.1,6.2,6.2,5713716,27
Mississippi,19.1,29.9,54915,56.3,37.0,0.4,1.0,3.6,3.6,2951438,28
Missouri,12.6,30.3,68920,78.3,11.1,0.3,2.1,5.1,6.3,6168181,29
Montana,12.0,27.9,69922,85.7,0.5,5.7,0.8,4.4,6.0,1105072,30
Nebraska,10.3,25.1,74985,79.9,4.8,1.0,2.5,12.3,7.6,1965926,31
Nevada,12.6,27.4,75561,53.2,9.4,1.3,8.7,29.2,14.8,3141000,32
New Hampshire,7.2,27.0,95628,88.9,1.5,0.1,2.6,4.5,5.5,1387834,33
New Jersey,9.8,25.7,101050,56.9,13.0,0.5,9.9,21.9,10.6,9267014,34
New Mexico,18.1,25.7,62125,53.6,2.1,9.5,1.7,48.2,20.9,2114768,35
New York,13.7,24.6,84578,57.1,14.7,0.5,8.9,19.6,8.9,19872319,36
North Carolina,13.2,25.0,69904,63.3,20.6,1.0,3.2,10.9,7.1,10584340,37
North Dakota,10.6,25.7,75949,83.9,3.2,4.5,1.6,4.5,5.3,779361,38
Ohio,13.2,32.3,69680,77.8,12.3,0.1,2.4,4.6,5.7,11780046,39
Oklahoma,15.3,30.7,63603,66.8,7.1,7.4,2.3,12.3,12.8,3995260,40
Oregon,11.9,22.4,80426,76.6,1.9,1.1,4.5,14.3,10.8,4238714,41
Pennsylvania,11.8,33.2,76081,75.8,10.7,0.2,3.7,8.4,6.1,12986518,42
Rhode Island,10.9,26.5,86372,72.3,5.8,0.4,3.5,17.1,10.7,1095371,44
South Carolina,14.2,28.2,66818,64.1,25.3,0.3,1.7,7.1,5.8,5212774,45
South Dakota,12.0,29.5,72421,81.5,2.2,7.7,1.4,4.6,5.6,899194,46
Tennessee,13.8,31.4,67097,73.5,15.9,0.2,1.8,7.1,6.0,6986082,47
Texas,13.8,24.3,76292,53.9,12.2,0.6,5.3,39.5,19.2,29640343,48
Utah,8.6,22.5,91750,80.7,1.1,1.0,2.4,15.4,8.3,3331187,49
Vermont,10.3,27.3,78024,91.4,1.2,0.2,1.7,2.5,4.8,645254,50
Virginia,9.9,23.9,90974,61.7,18.7,0.3,6.9,10.7,8.2,8657499,51
Washington,9.9,21.7,94952,67.8,4.0,1.2,9.4,14.1,11.4,7740984,53
West Virginia,16.6,39.5,57917,90.9,3.3,0.1,0.8,2.0,4.3,1784462,54
Wisconsin,10.6,29.7,75670,81.3,6.1,0.7,2.9,7.8,6.5,5892023,55
Wyoming,10.7,27.8,74815,86.0,0.9,2.1,0.8,10.4,7.1,579761,56
Puerto Rico,41.6,null,25096,35.2,7.3,0.2,0.2,98.8,30.1,3254885,72
